
Epoch 1/15 | LR: 0.001000
--------------------------------------------------
  batch 50 | loss: 0.6467 | acc: 0.8750
  batch 100 | loss: 0.6771 | acc: 0.5000
  batch 150 | loss: 0.6535 | acc: 0.5000
  batch 200 | loss: 0.7162 | acc: 0.3750
  batch 250 | loss: 0.6199 | acc: 0.6250
  batch 300 | loss: 0.6763 | acc: 0.3750
  batch 350 | loss: 0.6949 | acc: 0.5000
  batch 400 | loss: 0.6133 | acc: 0.6250
  batch 450 | loss: 0.7010 | acc: 0.3750
  batch 500 | loss: 0.5097 | acc: 0.7500
  batch 550 | loss: 0.7032 | acc: 0.5000
  batch 600 | loss: 0.5465 | acc: 0.8750
  batch 650 | loss: 0.7417 | acc: 0.6250
  batch 700 | loss: 0.5605 | acc: 0.7500
  batch 750 | loss: 0.7197 | acc: 0.5000
  batch 800 | loss: 0.8794 | acc: 0.5000
  batch 850 | loss: 0.6031 | acc: 0.7500
  batch 900 | loss: 0.5471 | acc: 0.8750
  batch 950 | loss: 0.6932 | acc: 0.5000
  batch 1000 | loss: 0.5421 | acc: 0.8750
  batch 1050 | loss: 0.7111 | acc: 0.6250
  batch 1100 | loss: 0.8246 | acc: 0.3750
  batch 1150 | loss: 0.6225 | acc: 0.6250
  batch 1200 | loss: 0.4093 | acc: 1.0000
  batch 1250 | loss: 0.6743 | acc: 0.7500
  batch 1300 | loss: 0.5438 | acc: 0.8750
  batch 1350 | loss: 0.7213 | acc: 0.6250
  batch 1400 | loss: 0.5753 | acc: 0.6250
  batch 1450 | loss: 0.5368 | acc: 0.7500
  batch 1500 | loss: 0.7080 | acc: 0.3750
  batch 1550 | loss: 0.7372 | acc: 0.3750
  batch 1600 | loss: 0.7933 | acc: 0.5000
  batch 1650 | loss: 0.6053 | acc: 0.6250
  batch 1700 | loss: 0.6906 | acc: 0.6250
  batch 1750 | loss: 0.6898 | acc: 0.7500
  batch 1800 | loss: 0.7184 | acc: 0.6250
  batch 1850 | loss: 0.6355 | acc: 0.6250
  batch 1900 | loss: 0.5242 | acc: 0.6250
  batch 1950 | loss: 0.6912 | acc: 0.5000
  batch 2000 | loss: 0.4873 | acc: 0.8750
  batch 2050 | loss: 0.7726 | acc: 0.6250
  batch 2100 | loss: 0.7313 | acc: 0.3750
  batch 2150 | loss: 0.6303 | acc: 0.7500
  batch 2200 | loss: 0.8481 | acc: 0.5000
  batch 2250 | loss: 0.4065 | acc: 1.0000
  batch 2300 | loss: 0.3892 | acc: 1.0000
  batch 2350 | loss: 0.6543 | acc: 0.8750
  batch 2400 | loss: 0.6503 | acc: 0.6250
  batch 2450 | loss: 0.8655 | acc: 0.2500
  batch 2500 | loss: 0.9269 | acc: 0.6250
  batch 2550 | loss: 0.6273 | acc: 0.5000
  batch 2600 | loss: 0.5349 | acc: 0.7500
  batch 2650 | loss: 0.6964 | acc: 0.6250
  batch 2700 | loss: 0.5528 | acc: 0.6250
  batch 2750 | loss: 0.7872 | acc: 0.2500
  batch 2800 | loss: 0.7032 | acc: 0.3750
  batch 2850 | loss: 0.3886 | acc: 1.0000
  batch 2900 | loss: 0.5614 | acc: 0.6250
  batch 2950 | loss: 0.7146 | acc: 0.6250
  batch 3000 | loss: 0.6805 | acc: 0.6250
  batch 3050 | loss: 0.6499 | acc: 0.5000
  batch 3100 | loss: 0.6428 | acc: 0.7500
  batch 3150 | loss: 0.8431 | acc: 0.3750
  batch 3200 | loss: 0.6919 | acc: 0.6250
  batch 3250 | loss: 1.0794 | acc: 0.1250
  batch 3300 | loss: 0.7140 | acc: 0.5000
