 Epoch |  Train Loss |  Train Acc |  Val Loss |  Val Acc |         LR |   Best
--------------------------------------------------------------------------------
     1 |      0.6251 |     63.57% |    0.5782 |   65.58% |   0.000905 |  0.00%
     2 |      0.6155 |     64.81% |    0.5677 |   66.23% |   0.000655 | 65.58%
     3 |      0.3944 |     81.05% |    0.2480 |   89.32% |   0.000090 | 66.23%
     4 |      0.1964 |     92.14% |    0.1031 |   95.95% |   0.000065 | 89.32%
     5 |      0.1313 |     94.82% |    0.0896 |   96.50% |   0.000035 | 95.95%
     6 |      0.1015 |     96.12% |    0.0846 |   96.92% |   0.000010 | 96.50%
     7 |      0.0828 |     96.70% |    0.0764 |   97.02% |   0.000100 | 96.92%
     8 |      0.0974 |     96.20% |    0.1763 |   94.69% |   0.000098 | 97.02%
     9 |      0.0850 |     96.82% |    0.1007 |   96.60% |   0.000090 | 97.02%
    10 |      0.0706 |     97.30% |    0.0598 |   97.72% |   0.000079 | 97.02%
    11 |      0.0609 |     97.69% |    0.0695 |   97.38% |   0.000065 | 97.72%
    12 |      0.0487 |     98.26% |    0.0643 |   97.75% |   0.000050 | 97.72%
    13 |      0.0392 |     98.54% |    0.0483 |   98.28% |   0.000035 | 97.75%
    14 |      0.0356 |     98.72% |    0.0482 |   98.45% |   0.000021 | 98.28%
    15 |      0.0312 |     98.84% |    0.0611 |   98.07% |   0.000010 | 98.45%
--------------------------------------------------------------------------------
